Date,Time,Temperature,Percent DO,mg/L DO
2023/08/01,00:04:51,12.4601,95.9562,10.2952
2023/08/01,00:16:47,12.4449,96.428,10.3494
2023/08/01,00:28:43,12.4327,96.252,10.3334
2023/08/01,00:52:57,12.3227,96.186,10.3525
2023/08/01,01:04:53,12.3174,96.1451,10.3493
2023/08/01,01:16:48,12.2566,96.4822,10.4002
2023/08/01,01:28:45,12.2196,96.616,10.4235
2023/08/01,01:40:40,12.2232,96.1872,10.3764
2023/08/01,01:52:36,12.2073,96.2994,10.3923
2023/08/01,02:04:54,12.2303,96.1767,10.3735
2023/08/01,02:16:51,12.1931,96.2602,10.3915
2023/08/01,02:28:47,12.1243,96.6088,10.4457
2023/08/01,02:40:43,12.1948,96.349,10.4006
2023/08/01,02:52:39,12.1938,96.0099,10.3643
2023/08/01,03:04:35,12.1351,96.4649,10.4275
2023/08/01,03:16:32,12.1205,96.5564,10.441
2023/08/01,03:28:29,12.1132,96.1414,10.3978
2023/08/01,03:40:25,12.1346,96.305,10.4103
2023/08/01,03:52:20,12.1553,96.1442,10.388
2023/08/01,04:04:28,12.1671,96.2251,10.3939
2023/08/01,04:16:29,12.1121,96.0175,10.3847
2023/08/01,04:28:25,12.1123,96.0722,10.3905
2023/08/01,04:40:21,12.0794,96.2022,10.4125
2023/08/01,04:52:18,12.0587,96.113,10.4078
2023/08/01,05:04:17,12.049,95.9411,10.3916
2023/08/01,05:16:16,12.0169,96.4001,10.449
2023/08/01,05:28:12,11.9628,96.0816,10.4276
2023/08/01,05:40:08,11.9709,96.2702,10.4461
2023/08/01,05:52:05,11.9325,96.6606,10.4978
2023/08/01,06:04:04,12.0176,95.9052,10.3952
2023/08/01,06:16:03,11.9622,96.5825,10.4821
2023/08/01,06:28:00,11.9654,96.7359,10.4979
2023/08/01,06:39:56,11.9574,96.1955,10.4412
2023/08/01,06:51:54,11.9275,96.6092,10.4934
2023/08/01,07:16:11,11.8301,96.855,10.5439
2023/08/01,07:28:07,11.9062,96.6254,10.5003
2023/08/01,07:40:06,11.927,96.5292,10.4848
2023/08/01,07:52:02,11.968,96.3224,10.4524
2023/08/01,08:04:03,11.9977,96.7261,10.489
2023/08/01,08:16:03,11.8612,97.5038,10.6068
2023/08/01,08:27:59,11.8588,97.1256,10.5663
2023/08/01,08:39:55,11.9248,96.6765,10.5014
2023/08/01,08:51:51,11.8821,96.9157,10.5378
2023/08/01,09:03:50,11.9187,97.1046,10.5493
2023/08/01,09:15:46,11.8988,97.5662,10.6044
2023/08/01,09:27:49,11.846,97.5257,10.6129
2023/08/01,09:51:57,11.8433,97.2134,10.5796
2023/08/01,10:03:56,11.8585,97.5059,10.6077
2023/08/01,10:15:52,12.0212,97.7514,10.5945
2023/08/01,10:27:49,11.9279,96.7295,10.5064
2023/08/01,10:40:07,11.8809,97.8706,10.6419
2023/08/01,10:52:03,11.8419,97.7784,10.6415
2023/08/01,11:03:58,11.896,98.0837,10.6613
2023/08/01,11:15:58,11.8276,98.4759,10.7209
